"avg","income_type","area_name"
38459.667289719626,"Annual wage or salary                                                                                                        ","Fort Collins-Loveland MSA"
38929.33511272142,"Annual wage or salary                                                                                                        ","Mesa County"
39108.2253219697,"Annual wage or salary                                                                                                        ","Fremont County"
39506.66730270906,"Annual wage or salary                                                                                                        ","La Plata County"
39547.20347715736,"Annual wage or salary                                                                                                        ","Pueblo"
39717.205975609766,"Annual wage or salary                                                                                                        ","Summit County"
39765.54483180428,"Annual wage or salary                                                                                                        ","Denver - Aurora MSA"
40056.28436331255,"Annual wage or salary                                                                                                        ","Pueblo County"
40467.54754075124,"Annual wage or salary                                                                                                        ","Pikes Peak"
40573.962916666664,"Annual wage or salary                                                                                                        ","Clear Creek County"
40653.74862944161,"Annual wage or salary                                                                                                        ","Northwest"
40857.902233400426,"Annual wage or salary                                                                                                        ","Weld"
41026.25243578388,"Annual wage or salary                                                                                                        ","Northwest Colorado"
41054.4790070922,"Annual wage or salary                                                                                                        ","Elbert County"
41214.232678571425,"Annual wage or salary                                                                                                        ","Rio Blanco County"
41226.49564056939,"Annual wage or salary                                                                                                        ","Routt County"
41440.28516972227,"Annual wage or salary                                                                                                        ","Boulder-Longmont MSA"
41772.576931738215,"Annual wage or salary                                                                                                        ","Weld County"
41871.34629408843,"Annual wage or salary                                                                                                        ","El Paso County"
42227.8339243807,"Annual wage or salary                                                                                                        ","Eagle County"
42241.912435233186,"Annual wage or salary                                                                                                        ","Rural Resort"
42587.77524940618,"Annual wage or salary                                                                                                        ","Garfield County"
42598.34336127408,"Annual wage or salary                                                                                                        ","Larimer"
42658.89523452158,"Annual wage or salary                                                                                                        ","Pitkin County"
43543.47143775568,"Annual wage or salary                                                                                                        ","Larimer County"
43830.30623960064,"Annual wage or salary                                                                                                        ","Adams"
44717.67939433841,"Annual wage or salary                                                                                                        ","Denver"
44922.877179637195,"Annual wage or salary                                                                                                        ","Adams County"
45076.2213697479,"Annual wage or salary                                                                                                        ","Boulder"
45269.307358953374,"Annual wage or salary                                                                                                        ","Tri-County"
45482.590624103286,"Annual wage or salary                                                                                                        ","Arapahoe-Douglas"
46214.502505694785,"Annual wage or salary                                                                                                        ","Denver County"
46382.07311010216,"Annual wage or salary                                                                                                        ","Jefferson County"
46591.707008293844,"Annual wage or salary                                                                                                        ","Boulder County"
47172.99432105263,"Annual wage or salary                                                                                                        ","Arapahoe County"
48137.30364784548,"Annual wage or salary                                                                                                        ","Douglas County"
50307.11598746081,"Annual wage or salary                                                                                                        ","Broomfield"
50589.57342818429,"Annual wage or salary                                                                                                        ","Broomfield County"
52235.32692307692,"Annual wage or salary                                                                                                        ","Undefined County"
